S.No.,datetime,temperature,humidity,mode,speed,opTime,eSpent,eSaved
0,23/03/2021 16:33,32,52,0,0,0,0,0
1,23/03/2021 16:35,33,50,0,0,0,0,0
2,23/03/2021 16:38,33,47,0,0,0,0,0
3,23/03/2021 16:39,34,47,0,0,0,0,0
4,23/03/2021 16:42,35,44,0,0,0,0,0
5,23/03/2021 16:42,35,44,0,0,0,0,0
6,23/03/2021 18:26,32,52,0,3,30,600,1050
7,23/03/2021 18:27,32,52,0,5,648,31104,31104
8,23/03/2021 18:37,33,52,0,5,491,23568,23568
9,23/03/2021 18:46,32,51,0,5,122,5856,5856
10,23/03/2021 18:48,33,52,0,5,92,4416,4416
11,23/03/2021 18:49,32,51,0,5,797,38256,38256
12,23/03/2021 19:03,33,53,0,5,276,13248,13248
13,23/03/2021 19:07,32,53,0,5,31,1488,1488
14,23/03/2021 19:08,33,54,0,5,92,4416,4416
15,23/03/2021 19:09,32,52,0,5,30,1440,1440
16,23/03/2021 19:10,33,53,0,5,1073,51504,51504
17,23/03/2021 19:28,32,54,0,5,1073,51504,51504
18,23/03/2021 19:45,31,53,0,5,215,10320,10320
19,23/03/2021 19:49,31,56,0,5,1440,69120,69120
20,23/03/2021 20:13,32,55,0,5,154,7392,7392
21,23/03/2021 20:16,31,55,0,5,399,19152,19152
22,23/03/2021 20:22,31,55,0,0,0,0,0
23,23/03/2021 21:34,30,58,0,5,1,48,48
24,23/03/2021 21:34,30,58,0,0,0,0,0
25,23/03/2021 22:51,31,60,0,5,1,48,48
26,23/03/2021 22:51,31,60,0,0,0,0,0
27,24/03/2021 0:32,30,60,0,5,477,22896,22896
28,24/03/2021 0:40,30,60,0,0,0,0,0
29,24/03/2021 0:41,30,59,0,5,1967,94416,94416
30,24/03/2021 1:14,30,59,0,0,0,0,0
31,24/03/2021 11:01,30,42,0,5,92,4416,4416
32,24/03/2021 11:02,30,45,0,5,61,2928,2928
33,24/03/2021 11:03,29,46,0,5,31,1488,1488
34,24/03/2021 11:04,30,47,0,5,32,1536,1536
35,24/03/2021 11:04,30,47,0,0,0,0,0
36,24/03/2021 11:36,31,41,0,5,61,2928,2928
37,24/03/2021 11:37,30,42,0,5,92,4416,4416
38,24/03/2021 11:39,30,45,0,5,83,3984,3984
39,24/03/2021 11:40,30,45,0,0,0,0,0
40,24/03/2021 12:08,31,37,0,5,61,2928,2928
41,24/03/2021 12:09,31,40,0,5,39,1872,1872
42,24/03/2021 12:09,31,40,0,0,0,0,0
43,24/03/2021 12:44,32,31,0,5,61,2928,2928
44,24/03/2021 12:45,31,33,0,5,460,22080,22080
45,24/03/2021 12:52,31,36,0,5,62,2976,2976
46,24/03/2021 12:53,31,36,0,0,0,0,0
47,24/03/2021 14:05,32,38,0,5,276,13248,13248
48,24/03/2021 14:09,33,38,0,5,1467,70416,70416
49,24/03/2021 14:34,33,38,0,0,0,0,0
50,24/03/2021 14:57,33,37,0,5,61,2928,2928
51,24/03/2021 14:58,33,40,0,5,31,1488,1488
52,24/03/2021 14:59,32,40,0,5,490,23520,23520
53,24/03/2021 15:07,33,41,0,5,31,1488,1488
54,24/03/2021 15:07,32,40,0,5,153,7344,7344
55,24/03/2021 15:10,33,41,0,5,184,8832,8832
56,24/03/2021 15:13,32,40,0,5,92,4416,4416
57,24/03/2021 15:15,33,41,0,5,30,1440,1440
58,24/03/2021 15:15,32,40,0,5,62,2976,2976
59,24/03/2021 15:16,33,41,0,5,490,23520,23520
60,24/03/2021 15:24,32,39,0,5,31,1488,1488
61,24/03/2021 15:25,33,40,0,5,1348,64704,64704
62,24/03/2021 15:47,33,37,0,5,154,7392,7392
63,24/03/2021 15:50,33,34,0,5,61,2928,2928
64,24/03/2021 15:51,34,34,0,5,153,7344,7344
65,24/03/2021 15:53,33,33,0,5,61,2928,2928
66,24/03/2021 15:54,34,34,0,5,31,1488,1488
67,24/03/2021 15:55,33,34,0,5,31,1488,1488
68,24/03/2021 15:55,34,33,0,5,122,5856,5856
69,24/03/2021 15:57,33,33,0,5,474,22752,22752
70,24/03/2021 16:05,34,34,0,5,31,1488,1488
71,24/03/2021 16:06,33,34,0,5,31,1488,1488
72,24/03/2021 16:06,34,34,0,5,30,1440,1440
73,24/03/2021 16:07,33,34,0,5,31,1488,1488
74,24/03/2021 16:07,34,34,0,5,61,2928,2928
75,24/03/2021 16:08,33,34,0,5,31,1488,1488
76,24/03/2021 16:09,34,33,0,5,123,5904,5904
77,24/03/2021 16:11,33,34,0,5,367,17616,17616
78,24/03/2021 16:17,34,33,0,5,31,1488,1488
79,24/03/2021 16:18,33,34,0,5,123,5904,5904
80,24/03/2021 16:20,34,34,0,5,30,1440,1440
81,24/03/2021 16:20,33,34,0,5,215,10320,10320
82,24/03/2021 16:24,34,34,0,5,31,1488,1488
83,24/03/2021 16:24,33,34,0,5,30,1440,1440
84,24/03/2021 16:25,34,34,0,5,460,22080,22080
85,24/03/2021 16:32,33,33,0,5,92,4416,4416
86,24/03/2021 16:34,34,33,0,5,61,2928,2928
87,24/03/2021 16:35,33,32,0,5,1258,60384,60384
88,24/03/2021 16:56,33,32,0,0,0,0,0
89,24/03/2021 17:00,35,30,0,5,61,2928,2928
90,24/03/2021 17:01,34,32,0,5,92,4416,4416
91,24/03/2021 17:02,33,34,0,5,368,17664,17664
92,24/03/2021 17:09,34,34,0,5,61,2928,2928
93,24/03/2021 17:10,33,35,0,5,61,2928,2928
94,24/03/2021 17:11,34,35,0,5,62,2976,2976
95,24/03/2021 17:12,33,35,0,5,92,4416,4416
96,24/03/2021 17:13,34,35,0,5,276,13248,13248
97,24/03/2021 17:18,34,35,0,0,0,0,0
98,24/03/2021 17:24,36,32,0,5,30,1440,1440
99,24/03/2021 17:24,35,31,0,5,31,1488,1488
100,24/03/2021 17:25,34,34,0,5,61,2928,2928
101,24/03/2021 17:26,33,34,0,5,1103,52944,52944
102,24/03/2021 17:44,34,34,0,5,62,2976,2976
103,24/03/2021 17:45,33,34,0,5,183,8784,8784
104,24/03/2021 17:48,34,34,0,5,184,8832,8832
105,24/03/2021 17:51,33,33,0,5,123,5904,5904
106,24/03/2021 17:53,34,33,0,5,31,1488,1488
107,24/03/2021 17:54,33,33,0,5,30,1440,1440
108,24/03/2021 17:54,34,33,0,5,92,4416,4416
109,24/03/2021 17:56,33,33,0,5,61,2928,2928
110,24/03/2021 17:57,34,33,0,5,31,1488,1488
111,24/03/2021 17:58,33,33,0,5,31,1488,1488
112,24/03/2021 17:58,34,34,0,5,184,8832,8832
113,24/03/2021 18:01,33,34,0,5,30,1440,1440
114,24/03/2021 18:02,34,34,0,5,245,11760,11760
115,24/03/2021 18:06,33,34,0,5,1394,66912,66912
116,24/03/2021 18:29,34,34,0,5,123,5904,5904
117,24/03/2021 18:31,33,35,0,5,61,2928,2928
118,24/03/2021 18:32,34,35,0,5,245,11760,11760
119,24/03/2021 18:36,33,35,0,5,584,28032,28032
120,24/03/2021 18:46,33,35,0,0,0,0,0
121,24/03/2021 22:00,32,50,0,5,1,48,48
122,24/03/2021 22:00,32,50,0,0,0,0,0
123,24/03/2021 23:51,31,49,0,5,461,22128,22128
124,24/03/2021 23:59,31,49,0,0,0,0,0
125,25/03/2021 12:00,31,22,0,5,31,1488,1488
126,25/03/2021 12:01,31,26,0,5,337,16176,16176
127,25/03/2021 12:07,31,26,0,0,0,0,0
128,25/03/2021 12:39,32,16,0,5,1,48,48
129,25/03/2021 12:39,32,16,0,0,0,0,0
130,25/03/2021 15:09,34,20,0,5,61,2928,2928
131,25/03/2021 15:10,33,21,0,5,337,16176,16176
132,25/03/2021 15:15,34,22,0,5,2421,116208,116208
133,25/03/2021 15:56,34,25,0,5,641,30768,30768
134,25/03/2021 16:06,34,25,0,0,0,0,0
135,25/03/2021 17:33,34,29,0,5,92,4416,4416
136,25/03/2021 17:35,34,26,0,5,153,7344,7344
137,25/03/2021 17:37,34,23,0,5,735,35280,35280
138,25/03/2021 17:50,34,20,0,5,429,20592,20592
139,25/03/2021 17:57,35,20,0,5,644,30912,30912
140,25/03/2021 18:08,34,21,0,5,766,36768,36768
141,25/03/2021 18:20,34,18,0,5,153,7344,7344
142,25/03/2021 18:23,35,19,0,5,30,1440,1440
143,25/03/2021 18:23,34,19,0,5,1180,56640,56640
144,25/03/2021 18:43,34,16,0,5,1,48,48
145,25/03/2021 18:43,34,16,0,0,0,0,0
146,25/03/2021 18:56,35,13,0,5,61,2928,2928
147,25/03/2021 18:57,34,16,0,5,153,7344,7344
148,25/03/2021 19:00,34,19,0,5,368,17664,17664
149,25/03/2021 19:06,34,22,0,5,490,23520,23520
150,25/03/2021 19:14,34,25,0,5,369,17712,17712
151,25/03/2021 19:20,34,25,0,0,0,0,0
152,25/03/2021 19:33,37,26,0,5,31,1488,1488
153,25/03/2021 19:33,36,26,0,5,30,1440,1440
154,25/03/2021 19:34,35,27,0,5,61,2928,2928
155,25/03/2021 19:35,34,29,0,5,339,16272,16272
156,25/03/2021 19:40,34,29,0,0,0,0,0
157,25/03/2021 20:39,34,33,0,5,62,2976,2976
158,25/03/2021 20:40,33,33,0,5,582,27936,27936
